Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFitBatchDegree(size=50),4,50,100,0.3,1.375,0.375,50.0
FirstFitBatchDegree(size=50),4,100,100,0.3,1.66,0.6869497798238238,50.0
FirstFitBatchDegree(size=50),4,150,100,0.3,1.9525,0.797413788443616,50.0
FirstFitBatchDegree(size=50),4,200,100,0.3,2.155,1.0196690639614403,50.0
FirstFitBatchDegree(size=50),4,300,100,0.3,2.2125,1.1132020256898565,50.0
FirstFitBatchDegree(size=50),4,400,100,0.3,2.1725,1.0866778501469514,50.0
FirstFitBatchDegree(size=50),4,500,100,0.3,2.325,1.2044189470445903,50.0
FirstFitBatchDegree(size=50),4,600,100,0.3,2.61,1.3552306076826923,50.0
FirstFitBatchDegree(size=50),4,700,100,0.3,2.195,1.1814080582085091,50.0
FirstFitBatchDegree(size=50),4,800,100,0.3,2.085,1.0672511419530082,50.0
FirstFitBatchDegree(size=50),4,900,100,0.3,2.34,1.1808471535300409,50.0
FirstFitBatchDegree(size=50),4,1000,100,0.3,2.705,1.5253606131010464,50.0
